AIS,MUNICIPIO,NATUREZA DO FATO,ARMA-UTILZADA,DATA,SEXO,IDADE,State,Country,LATITUTDE,LONGITUDE
AIS 14,Sobral,FEMINICÍDIO,Arma branca,05/01/2020,Feminino,74,Ceará,Brazil,-3.6879135,-40.3456372
AIS 6,Fortaleza,FEMINICÍDIO,Arma de fogo,07/01/2020,Feminino,48,Ceará,Brazil,-3.7304512,-38.5217989
AIS 18,Russas,FEMINICÍDIO,Arma branca,17/01/2020,Feminino,54,Ceará,Brazil,-4.9354279,-37.9783838
AIS 16,Santa Quitéria,FEMINICÍDIO,Arma de fogo,02/02/2020,Feminino,39,Ceará,Brazil,-4.3336553,-40.1544913
AIS 19,Juazeiro do Norte,FEMINICÍDIO,Arma branca,26/02/2020,Feminino,21,Ceará,Brazil,-7.2153453,-39.3153336
AIS 14,Sobral,FEMINICÍDIO,Arma branca,02/03/2020,Feminino,47,Ceará,Brazil,-3.6879135,-40.3456372
AIS 9,Fortaleza,FEMINICÍDIO,Arma branca,08/03/2020,Feminino,47,Ceará,Brazil,-3.7304512,-38.5217989
AIS 21,Cedro,FEMINICÍDIO,Arma branca,28/03/2020,Feminino,25,Ceará,Brazil,-6.6065382,-39.0599487
AIS 14,Sobral,FEMINICÍDIO,Arma de fogo,05/04/2020,Feminino,17,Ceará,Brazil,-3.6879135,-40.3456372
AIS 6,Fortaleza,FEMINICÍDIO,Arma de fogo,09/05/2020,Feminino,50,Ceará,Brazil,-3.7304512,-38.5217989
AIS 19,Juazeiro do Norte,FEMINICÍDIO,Arma de fogo,28/05/2020,Feminino,38,Ceará,Brazil,-7.2153453,-39.3153336
AIS 16,Ipueiras,FEMINICÍDIO,Arma branca,10/06/2020,Feminino,46,Ceará,Brazil,-4.5427141,-40.7168461
AIS 18,Jaguaruana,FEMINICÍDIO,Arma branca,13/06/2020,Feminino,41,Ceará,Brazil,-4.831508,-37.780997
AIS 19,Mauriti,FEMINICÍDIO,Arma branca,27/06/2020,Feminino,28,Ceará,Brazil,-7.3870095,-38.7737751
AIS 19,Crato,FEMINICÍDIO,Outros meios,10/07/2020,Feminino,72,Ceará,Brazil,-7.2369112,-39.4149236
AIS 19,Juazeiro do Norte,FEMINICÍDIO,Arma branca,28/07/2020,Feminino,37,Ceará,Brazil,-7.2153453,-39.3153336
AIS 19,Barbalha,FEMINICÍDIO,Arma branca,16/08/2020,Feminino,37,Ceará,Brazil,-7.3121067,-39.3036427
AIS 22,Tauá,FEMINICÍDIO,Arma branca,17/08/2020,Feminino,21,Ceará,Brazil,-6.0031372,-40.2947268
AIS 17,Amontada,FEMINICÍDIO,Arma branca,01/09/2020,Feminino,37,Ceará,Brazil,-3.3634586,-39.8284791
AIS 14,Sobral,FEMINICÍDIO,Arma branca,02/09/2020,Feminino,29,Ceará,Brazil,-3.6879135,-40.3456372
AIS 18,Ererê,FEMINICÍDIO,Arma de fogo,10/09/2020,Feminino,38,Ceará,Brazil,-6.0311304,-38.3482173
AIS 5,Fortaleza,FEMINICÍDIO,Arma de fogo,08/10/2020,Feminino,44,Ceará,Brazil,-3.7304512,-38.5217989
AIS 11,Paraipaba,FEMINICÍDIO,Arma de fogo,17/10/2020,Feminino,22,Ceará,Brazil,-3.437987,-39.147868
AIS 16,Santa Quitéria,FEMINICÍDIO,Arma branca,27/10/2020,Feminino,35,Ceará,Brazil,-4.3336553,-40.1544913
AIS 19,Milagres,FEMINICÍDIO,Arma de fogo,10/11/2020,Feminino,29,Ceará,Brazil,-7.3106846,-38.9447146
AIS 16,Ipueiras,FEMINICÍDIO,Arma branca,11/12/2020,Feminino,33,Ceará,Brazil,-4.5427141,-40.7168461
AIS 19,Salitre,FEMINICÍDIO,Arma de fogo,26/12/2020,Feminino,43,Ceará,Brazil,-7.285445,-40.457306
